工号,层级,物料编码,物料描述,批次,特性值
Z161264478,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264488,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264488,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264488,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264500,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264500,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264500,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264501,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264501,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264501,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264502,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264502,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264502,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264505,1,A599000049,导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1,,
Z161264505,2,A599407062,导靴罩装配_16541529_A_SP-13MD1,,
Z161264509,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264509,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264509,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264512,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264512,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264512,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264520,1,A599000049,导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1,,
Z161264520,2,A599407062,导靴罩装配_16541529_A_SP-13MD1,,
Z161264521,1,A599000049,导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1,,
Z161264521,2,A599407062,导靴罩装配_16541529_A_SP-13MD1,,
Z161264526,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264526,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264526,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
