"工号-箱头-分箱","梯种","物料编码","物料描述","数量","箱头作业指令产出日期","物料要求送货日期","生产线","序号","导靴","导靴物料描述","提拉杆","提拉杆物料描述"
"17G080739-B03-01","LGE-630-CO60","Z161265486","立柱组合","1","2019/6/9 0:00","2019/6/6","2","50","","","",""
"18G118990-B03-01","LCA-Ⅱ-1050-CO105","Z161266625","立柱组合","1","2019/6/9 0:00","2019/6/6","2","67","","","",""
"16G005032-B03-01","LCA-Ⅱ-825-CO90","Z161266475","立柱组合","1","2019/6/9 0:00","2019/6/6","2","59","","","",""
"18G016372-B03-01","LGE-825-CO60","Z161266475","立柱组合","1","2019/6/9 0:00","2019/6/6","2","60","","","",""
"19G035169-B03-01","LCA-Ⅱ-825-CO60","Z161266853","立柱组合","1","2019/6/9 0:00","2019/6/6","2","71","","","",""
"19R000610-B03-01","LGE-825-CO60","Z161266475","立柱组合","1","2019/6/9 0:00","2019/6/6","1","13","","","",""
"19G007650-B03-01","MCA-Ⅱ-1150-CO150","A521258491","立柱装配_C0086991_D_PLF.HT=3600","2","2019/6/9 0:00","2019/6/6","1","76","","","",""
"18G093935-B03-01","MCA-Ⅱ-1600-CO150","A521258494","立柱装配_C0086991_G_PLF.HT=4200","2","2019/6/9 0:00","2019/6/6","2","75","","","",""
"19R000611-B03-01","MCA-825-CO61","A571259272","立柱装配","1","2019/6/10 0:00","2019/6/6","2","76","","","",""
"18G093995-B03-01","MCA-Ⅱ-1600-CO150","A521258494","立柱组合","2","2019/6/9 0:00","2019/6/6","999","","","","",""
"18G047703-B03-01","VGE-400-CO24","Z161011987","立柱组合","1","2019/6/9 0:00","2019/6/6","2","41","","","P121011624","提拉杆连接件组合件_C0050123_A/84070111_A"
"19R000439-B03-01","VGE-400-CO24","Z161011987","立柱组合","1","2019/6/9 0:00","2019/6/6","2","42","","","P121011624","提拉杆连接件组合件_C0050123_A/84070111_A"
"16G066890-B03-01","VGE-400-CO24","Z161265403","立柱组合","1","2019/6/9 0:00","2019/6/6","1","74","","","P121011744","提拉杆连接件组合件_C0073381_B/84070111_A"
"17G082664-B03-01","HGE-Ⅲ-825-CO60","Z161267850","立柱组合","1","2019/6/9 0:00","2019/6/6","2","14","A599000050","导靴罩装配_16004547_A_82288727_A_SP-8MC1_SP-8MC1","P121010606","提拉杆连接件组合件_13529946_C/84070111_A"
"18G078221-B03-01","HGE-Ⅲ-1050-CO90","Z161268088","立柱组合","1","2019/6/9 0:00","2019/6/6","2","19","A599000050","导靴罩装配_16004547_A_82288727_A_SP-8MC1_SP-8MC1","P121010606","提拉杆连接件组合件_13529946_C/84070111_A"
"17G082708-B03-01","HGE-Ⅲ-825-CO60","Z161267850","立柱组合","1","2019/6/9 0:00","2019/6/6","2","15","A599000050","导靴罩装配_16004547_A_82288727_A_SP-8MC1_SP-8MC1","P121010606","提拉杆连接件组合件_13529946_C/84070111_A"
"18G072672-B03-01","HGE-Ⅲ-1050-CO90","Z161267839","立柱组合","1","2019/6/9 0:00","2019/6/6","2","27","A599000050","导靴罩装配_16004547_A_82288727_A_SP-8MC1_SP-8MC1","P121010607","提拉杆连接件组合件_13529946_D/84070111_A"
"18G113816-B03-01","MCA-Ⅱ-1050-CO105","Z161267846","立柱组合","1","2019/6/9 0:00","2019/6/6","2","31","A599000050","导靴罩装配_16004547_A_82288727_A_SP-8MC1_SP-8MC1","P121010607","提拉杆连接件组合件_13529946_D/84070111_A"
"18G078218-B03-01","HGE-Ⅲ-825-CO90","Z161267854","立柱组合","1","2019/6/9 0:00","2019/6/6","2","32","A599000050","导靴罩装配_16004547_A_82288727_A_SP-8MC1_SP-8MC1","P121010607","提拉杆连接件组合件_13529946_D/84070111_A"
"18G072662-B03-01","HGE-Ⅲ-1050-CO90","Z161267839","立柱组合","1","2019/6/9 0:00","2019/6/6","1","53","A599000050","导靴罩装配_16004547_A_82288727_A_SP-8MC1_SP-8MC1","P121010607","提拉杆连接件组合件_13529946_D/84070111_A"
"18G074903-B03-01","MCA-Ⅱ-900-CO105","Z161267845","立柱组合","1","2019/6/9 0:00","2019/6/6","2","30","A599000050","导靴罩装配_16004547_A_82288727_A_SP-8MC1_SP-8MC1","P121010607","提拉杆连接件组合件_13529946_D/84070111_A"
